,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
3840,To be done up,3,173  m² square meters,Installed,3,1,,274  m²  square meters,,"€ 199,000  199000 €",,,
3841,Good,4,240  m² square meters,Installed,3,1,No,550  m²  square meters,,"€ 349,000  349000 €",,Limburg,
3842,As new,2,210  m² square meters,Installed,3,1,,210  m²  square meters,100  m²  square meters,"€ 399,000  399000 €",No,,
3843,To be done up,2,125  m² square meters,Installed,3,1,No,157  m²  square meters,45  m²  square meters,"€ 399,000  399000 €",No,Bruxelles,
3844,Good,4,240  m² square meters,Installed,6,2,,17000  m²  square meters,2400  m²  square meters,"€ 649,000  649000 €",,,
3845,,,170  m² square meters,,4,1,,,,"€ 229,000  229000 €",No,,
3846,Good,2,,Not installed,3,2,,,,"€ 375,000  375000 €",,,
3847,,3,140  m² square meters,Installed,3,1,,660  m²  square meters,,"€ 365,000  365000 €",,,
3848,To renovate,4,,Installed,4,1,,585  m²  square meters,445  m²  square meters,"€ 377,000  377000 €",No,,
3849,,,365  m² square meters,Semi equipped,,1,No,608  m²  square meters,225  m²  square meters,"€ 359,000  359000 €",,,
3850,,2,83  m² square meters,,2,1,No,322  m²  square meters,,"Make an offer starting from  € 149,000  Make an offer starting from  149000 €",No,,
3851,Good,2,150  m² square meters,Semi equipped,4,2,No,69  m²  square meters,,"€ 299,000  299000 €",,1000-VUREN,Yes
3852,As new,1,110  m² square meters,,3,1,No,2250  m²  square meters,2250  m²  square meters,"€ 274,000  274000 €",,,
3853,Good,,163  m² square meters,Installed,4,,No,606  m²  square meters,,"€ 415,000  415000 €",,,Yes
3854,Good,2,76  m² square meters,Semi equipped,2,1,,,,"€ 150,000  150000 €",,,
3855,To renovate,3,182  m² square meters,,3,1,No,459  m²  square meters,100  m²  square meters,"€ 285,000  285000 €",No,Regio Tienen,Yes
3856,To renovate,3,147  m² square meters,Semi equipped,3,1,,300  m²  square meters,,"€ 150,000  150000 €",,,
3857,,2,155  m² square meters,Semi equipped,4,1,,1057  m²  square meters,,"€ 299,000  299000 €",,,Yes
3858,As new,4,358  m² square meters,,8,6,,7000  m²  square meters,8  m²  square meters,"€ 699,000  699000 €",,,
3859,To be done up,2,130  m² square meters,,3,1,No,208  m²  square meters,,"€ 289,000  289000 €",No,Haaltert en deelgemeenten,Yes
3860,Good,,218  m² square meters,Installed,3,,No,240  m²  square meters,,"€ 270,000  270000 €",,,Yes
3861,Just renovated,3,90  m² square meters,Installed,2,1,No,680  m²  square meters,600  m²  square meters,"Make an offer starting from  € 109,000  Make an offer starting from  109000 €",No,,
3862,Good,3,180  m² square meters,Installed,3,2,,,65  m²  square meters,"€ 750,000  750000 €",,Bruxelles Sud,
3863,,3,166  m² square meters,Installed,3,1,,,,"€ 598,000  598000 €",,,Yes
3864,Good,4,600  m² square meters,Hyper equipped,5,4,No,1900  m²  square meters,,"€ 2,590,000  2590000 €",Yes,,
3865,Just renovated,2,145  m² square meters,,5,2,No,567  m²  square meters,355  m²  square meters,"€ 449,000  449000 €",,Vlaams Brabant,
3866,Just renovated,1,161  m² square meters,Hyper equipped,3,1,,144  m²  square meters,72  m²  square meters,"€ 398,000  398000 €",No,,
3867,As new,4,340  m² square meters,Hyper equipped,5,3,No,1350  m²  square meters,1221  m²  square meters,"€ 2,550,000  2550000 €",Yes,,Yes
3868,To be done up,4,175  m² square meters,Semi equipped,4,2,,660  m²  square meters,,"€ 495,000  495000 €",,,
3869,As new,2,170  m² square meters,Installed,4,2,No,140  m²  square meters,,"Make an offer starting from  € 229,000  Make an offer starting from  229000 €",No,,Yes
3870,To be done up,3,160  m² square meters,Semi equipped,2,1,,230  m²  square meters,,"€ 249,000  249000 €",,,Yes
3871,As new,,,,3,2,,589  m²  square meters,,"€ 530,000  530000 €",No,,Yes
3872,,2,133  m² square meters,Installed,3,1,,162  m²  square meters,,"€ 301,000  301000 €",,,
3873,Good,2,181  m² square meters,,4,1,,342  m²  square meters,265  m²  square meters,"Make an offer starting from  € 205,000  Make an offer starting from  205000 €",,,
3874,Good,4,418  m² square meters,Hyper equipped,4,2,,2873  m²  square meters,,"€ 1,350,000  1350000 €",,,Yes
3875,Good,2,125  m² square meters,Not installed,4,1,No,94  m²  square meters,25  m²  square meters,"€ 155,000  155000 €",No,,
3876,Good,4,323  m² square meters,Semi equipped,5,1,,3902  m²  square meters,,"€ 829,000  829000 €",,,Yes
3877,As new,4,380  m² square meters,USA hyper equipped,6,3,,2230  m²  square meters,1700  m²  square meters,"Make an offer starting from  € 890,000  Make an offer starting from  890000 €",,,
3878,Good,2,118  m² square meters,,3,1,No,377  m²  square meters,310  m²  square meters,"€ 199,000  199000 €",,,Yes
3879,Good,3,,Installed,3,1,,,,"€ 295,000  295000 €",,,Yes
