,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Garden surface,Price,Swimming pool,Neighbourhood or locality,Terrace
2825,Just renovated,4,260  m² square meters,,6,2,,1353  m²  square meters,,"€ 625,000  625000 €",,,
2826,To be done up,4,312  m² square meters,Semi equipped,5,2,No,1475  m²  square meters,,"€ 595,000  595000 €",,,Yes
2827,To renovate,,105  m² square meters,Installed,3,1,,632  m²  square meters,,"€ 785,000  785000 €",No,,Yes
2828,As new,4,172  m² square meters,USA installed,4,2,,510  m²  square meters,300  m²  square meters,"€ 539,000  539000 €",,,
2829,Good,2,107  m² square meters,Installed,2,1,,69  m²  square meters,,"€ 259,000  259000 €",No,,
2830,Good,2,160  m² square meters,Semi equipped,2,1,,177  m²  square meters,,"€ 190,000  190000 €",,,
2831,Good,2,112  m² square meters,Installed,3,2,No,96  m²  square meters,,"€ 199,000  199000 €",No,Liège,
2832,Good,2,150  m² square meters,,5,1,,270  m²  square meters,,"€ 359,000  359000 €",,Andere,
2833,To be done up,3,165  m² square meters,Installed,3,1,No,903  m²  square meters,,"€ 249,000  249000 €",,,
2834,To renovate,3,387  m² square meters,Semi equipped,3,,No,427  m²  square meters,,"€ 210,000  210000 €",,,
2835,Good,4,163  m² square meters,Installed,3,,No,538  m²  square meters,,"€ 275,000  275000 €",,,Yes
2836,Just renovated,3,150  m² square meters,Installed,4,1,,160  m²  square meters,30  m²  square meters,"€ 230,000  230000 €",No,,
2837,,4,140  m² square meters,Installed,3,1,No,826  m²  square meters,300  m²  square meters,"€ 439,000  439000 €",,,
2838,Good,2,171  m² square meters,Installed,4,1,No,112  m²  square meters,42  m²  square meters,"€ 469,000  469000 €",,Bruxelles Nord,
2839,Good,2,350  m² square meters,Installed,4,3,,125  m²  square meters,,"€ 625,000  625000 €",No,,
2840,,3,180  m² square meters,,3,,,567  m²  square meters,,"€ 349,000  349000 €",,,
2841,To be done up,4,191  m² square meters,,3,1,No,6531  m²  square meters,,"€ 769,000  769000 €",No,,Yes
2842,Good,3,400  m² square meters,Installed,5,,,,,"€ 473,000  473000 €",,,
2843,Good,4,360  m² square meters,Installed,4,2,,6159  m²  square meters,,"€ 690,000  690000 €",,,Yes
2844,As new,4,1100  m² square meters,Installed,5,7,No,,,"€ 4,950,000  4950000 €",Yes,,
2845,As new,2,170  m² square meters,Installed,4,1,,280  m²  square meters,,,,,
2846,As new,4,780  m² square meters,Hyper equipped,7,6,No,5168  m²  square meters,4000  m²  square meters,"€ 2,950,000  2950000 €",Yes,,
2847,,3,180  m² square meters,Installed,3,1,,,,"€ 398,000  398000 €",,,
2848,As new,3,120  m² square meters,Semi equipped,2,1,No,240  m²  square meters,300  m²  square meters,"€ 229,000  229000 €",,,
2849,To renovate,,455  m² square meters,Installed,6,2,,1000  m²  square meters,600  m²  square meters,"€ 375,000  375000 €",,,
2850,As new,4,160  m² square meters,Semi equipped,4,1,,800  m²  square meters,,"Make an offer starting from  € 329,500  Make an offer starting from  329500 €",,,Yes
2851,To renovate,,248  m² square meters,Semi equipped,3,1,,316  m²  square meters,,"€ 279,000  279000 €",,,Yes
2852,Good,4,650  m² square meters,,12,6,,850  m²  square meters,,"€ 850,000  850000 €",,,
2853,,4,165  m² square meters,,3,1,,471  m²  square meters,,"€ 498,000  498000 €",,,Yes
2854,,4,140  m² square meters,Semi equipped,4,,,1537  m²  square meters,,"€ 230,000  230000 €",,,
2855,Good,2,262  m² square meters,Installed,4,2,No,410  m²  square meters,,"€ 298,000  298000 €",,,
2856,To be done up,3,60  m² square meters,Semi equipped,2,1,No,220  m²  square meters,140  m²  square meters,"€ 150,000  150000 €",No,Zone Sud Province du Luxembourg,Yes
2857,Good,4,277  m² square meters,Installed,6,2,No,664  m²  square meters,,"€ 639,000  639000 €",No,,
2858,Just renovated,2,205  m² square meters,Semi equipped,3,1,,775  m²  square meters,,"€ 449,000  449000 €",,,Yes
2859,Good,4,171  m² square meters,,4,1,No,748  m²  square meters,,"€ 569,000  569000 €",,,
2860,As new,4,245  m² square meters,Installed,6,2,No,1372  m²  square meters,,"€ 795,000  795000 €",,,
2861,To renovate,2,152  m² square meters,,3,1,No,229  m²  square meters,,"€ 189,000  189000 €",No,,Yes
2862,Good,4,480  m² square meters,Installed,4,1,No,29000  m²  square meters,30000  m²  square meters,"Make an offer starting from  € 750,000  Make an offer starting from  750000 €",No,,
2863,Good,2,300  m² square meters,Hyper equipped,6,5,No,193  m²  square meters,,"€ 700,000  700000 €",,,
2865,To be done up,3,196  m² square meters,Installed,3,1,Yes,250  m²  square meters,,"€ 249,000  249000 €",,,
2866,Good,2,85  m² square meters,Installed,2,1,No,250  m²  square meters,110  m²  square meters,"€ 180,000  180000 €",No,,
2867,As new,2,218  m² square meters,Hyper equipped,3,1,,27  m²  square meters,,"€ 335,000  335000 €",No,,
2868,As new,2,212  m² square meters,Hyper equipped,5,3,No,219  m²  square meters,130  m²  square meters,"€ 1,325,000  1325000 €",No,,
2869,,2,135  m² square meters,,3,1,No,1005  m²  square meters,,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",No,,Yes
2870,Good,2,145  m² square meters,Installed,3,1,No,100  m²  square meters,,"€ 389,000  389000 €",,,
2871,To renovate,3,214  m² square meters,,4,1,,907  m²  square meters,,"€ 325,000  325000 €",,Hèze,Yes
2872,Good,2,110  m² square meters,Installed,3,1,,272  m²  square meters,,"€ 275,000  275000 €",,,Yes
2873,As new,4,590  m² square meters,Hyper equipped,5,4,No,1918  m²  square meters,,"€ 2,590,000  2590000 €",Yes,,
2874,Good,4,317  m² square meters,Installed,3,2,No,2900  m²  square meters,,"€ 549,000  549000 €",,Grand Liège,Yes
2875,To renovate,3,500  m² square meters,,8,3,,2500  m²  square meters,,"€ 895,000  895000 €",,,
2876,,3,107  m² square meters,Installed,4,,,83  m²  square meters,,"€ 150,000  150000 €",,,Yes
2877,Good,4,162  m² square meters,Installed,3,1,No,559  m²  square meters,,"€ 375,000  375000 €",No,,
2878,To be done up,2,384  m² square meters,Not installed,,,,384  m²  square meters,,"€ 400,000  400000 €",,,Yes
2879,,3,117  m² square meters,Installed,2,1,No,1015  m²  square meters,,"€ 280,000  280000 €",,,
2880,Good,2,244  m² square meters,,4,1,,165  m²  square meters,45  m²  square meters,"€ 325,000  325000 €",,,
2881,,2,173  m² square meters,Installed,4,,No,74  m²  square meters,,"€ 169,000  169000 €",,,
2882,To be done up,3,108  m² square meters,Semi equipped,3,,No,132  m²  square meters,44  m²  square meters,"€ 143,500  143500 €",,,
2884,To be done up,4,197  m² square meters,,3,1,,6239  m²  square meters,,"€ 559,000  559000 €",,,
2885,Good,4,394  m² square meters,Installed,7,3,No,5686  m²  square meters,,"€ 689,000  689000 €",No,,
2886,Just renovated,2,289  m² square meters,Installed,6,2,,266  m²  square meters,,"€ 379,000  379000 €",,,
2887,,4,360  m² square meters,USA installed,2,1,,317  m²  square meters,,"€ 299,000  299000 €",,Oost- Vlaanderen,Yes
2888,Good,3,263  m² square meters,Installed,5,3,No,523  m²  square meters,,"€ 499,000  499000 €",No,,Yes
2889,,2,,Installed,3,1,,,114  m²  square meters,"€ 239,000  239000 €",,,
2890,As new,,301  m² square meters,Installed,5,2,,160  m²  square meters,,"€ 329,000  329000 €",,,
2891,To renovate,4,175  m² square meters,,2,1,,405  m²  square meters,,"Make an offer starting from  € 170,000  Make an offer starting from  170000 €",,,
2892,,3,252  m² square meters,,2,1,No,730  m²  square meters,,"€ 495,000  495000 €",,Gent,Yes
2893,,2,400  m² square meters,,5,2,,207  m²  square meters,50  m²  square meters,"€ 1,290,000  1290000 €",,Antwerpen centrum,
2894,To renovate,2,103  m² square meters,Semi equipped,2,1,,238  m²  square meters,167  m²  square meters,"€ 139,000  139000 €",,,
2895,Good,4,,,7,2,,2086  m²  square meters,,"€ 500,000  500000 €",,,Yes
2896,To be done up,3,200  m² square meters,USA semi equipped,3,1,No,613  m²  square meters,355  m²  square meters,"€ 199,000  199000 €",No,Regio Tienen,
2897,As new,3,233  m² square meters,Hyper equipped,4,,No,2618  m²  square meters,,"€ 600,000  600000 €",,,Yes
2898,Good,2,84  m² square meters,Installed,3,1,,60  m²  square meters,,"€ 280,000  280000 €",,,
2899,Good,4,231  m² square meters,Installed,5,1,No,1552  m²  square meters,1372  m²  square meters,"€ 259,000  259000 €",No,,
2900,As new,4,220  m² square meters,,5,2,No,1496  m²  square meters,,"€ 725,000  725000 €",,,
2901,Good,4,172  m² square meters,Hyper equipped,3,1,No,775  m²  square meters,500  m²  square meters,"€ 319,000  319000 €",No,,
2902,To renovate,,187  m² square meters,Installed,5,1,,941  m²  square meters,941  m²  square meters,"€ 315,000  315000 €",No,,
2903,To renovate,2,190  m² square meters,,2,1,No,74  m²  square meters,,"€ 295,000  295000 €",No,Bruxelles,
2904,To be done up,2,319  m² square meters,Hyper equipped,6,2,,176  m²  square meters,96  m²  square meters,"€ 790,000  790000 €",No,,Yes
2905,To renovate,2,93  m² square meters,Not installed,2,1,,,,"€ 110,000  110000 €",,,
2906,To renovate,4,150  m² square meters,Installed,3,1,No,1216  m²  square meters,,"€ 375,000  375000 €",,,
2907,Just renovated,2,116  m² square meters,Installed,3,1,,156  m²  square meters,,"€ 299,000  299000 €",,,Yes
2908,Good,2,260  m² square meters,USA installed,7,3,No,175  m²  square meters,60  m²  square meters,"Make an offer starting from  € 475,000  Make an offer starting from  475000 €",No,Bruxelles (19 communes),
2909,To renovate,4,104  m² square meters,,5,1,No,1364  m²  square meters,1364  m²  square meters,"€ 225,000  225000 €",No,Zone Nord Province du Luxembourg,Yes
2910,To be done up,4,159  m² square meters,Not installed,4,1,No,510  m²  square meters,380  m²  square meters,"€ 360,000  360000 €",No,Herve,Yes
2911,,4,150  m² square meters,Hyper equipped,3,1,No,1637  m²  square meters,,"€ 375,000  375000 €",No,,Yes
2912,To be done up,2,129  m² square meters,Installed,3,,No,230  m²  square meters,,"€ 190,000  190000 €",,,
2913,Good,4,242  m² square meters,Installed,7,1,,680  m²  square meters,400  m²  square meters,"Make an offer starting from  € 545,000  Make an offer starting from  545000 €",,,
2914,To be done up,4,60  m² square meters,Semi equipped,2,1,No,450  m²  square meters,450  m²  square meters,"Make an offer starting from  € 59,000  Make an offer starting from  59000 €",No,,
2915,To be done up,4,220  m² square meters,,4,2,,5000  m²  square meters,5000  m²  square meters,"Make an offer starting from  € 399,000  Make an offer starting from  399000 €",,,
2916,To renovate,4,195  m² square meters,,4,1,,685  m²  square meters,448  m²  square meters,"€ 289,000  289000 €",,,
2917,As new,4,147  m² square meters,USA semi equipped,4,1,,2142  m²  square meters,1  m²  square meter,"€ 515,000  515000 €",No,,
2918,To renovate,2,150  m² square meters,,4,1,,260  m²  square meters,,"€ 385,000  385000 €",No,,
2919,To be done up,2,163  m² square meters,Installed,4,1,,100  m²  square meters,20  m²  square meters,"€ 315,000  315000 €",,,
2920,As new,4,235  m² square meters,,5,1,No,604  m²  square meters,604  m²  square meters,"€ 485,000  485000 €",Yes,,
2921,,4,361  m² square meters,Installed,3,2,,1784  m²  square meters,,"€ 795,000  795000 €",,,Yes
2922,Good,3,165  m² square meters,Installed,2,,No,100  m²  square meters,,"€ 169,000  169000 €",,,
2923,To be done up,2,320  m² square meters,,5,1,,1245  m²  square meters,1  m²  square meter,"€ 199,500  199500 €",,,
2924,Just renovated,2,294  m² square meters,,6,3,No,330  m²  square meters,,"€ 550,000  550000 €",No,,
2925,Good,3,300  m² square meters,,4,1,No,2115  m²  square meters,1930  m²  square meters,"€ 598,000  598000 €",,,Yes
2926,Just renovated,2,260  m² square meters,,10,10,No,154  m²  square meters,50  m²  square meters,"€ 1,300,000  1300000 €",No,,Yes
2927,To renovate,2,190  m² square meters,Not installed,1,,,302  m²  square meters,140  m²  square meters,"€ 119,000  119000 €",,,
2928,Just renovated,,216  m² square meters,Installed,5,2,,90  m²  square meters,,"€ 221,400  221400 €",No,,Yes
2929,Just renovated,2,105  m² square meters,Installed,3,2,No,105  m²  square meters,,"Make an offer starting from  € 165,000  Make an offer starting from  165000 €",No,,
2930,,,250  m² square meters,Installed,5,,,811  m²  square meters,,"€ 349,000  349000 €",,,Yes
2931,Good,2,53  m² square meters,Semi equipped,1,1,No,297  m²  square meters,,"€ 90,000  90000 €",,,
2932,,2,148  m² square meters,USA hyper equipped,3,1,No,214  m²  square meters,,"€ 375,000  375000 €",No,Oost-Vlaanderen,
2933,To renovate,3,112  m² square meters,Not installed,3,1,,231  m²  square meters,160  m²  square meters,"€ 99,000  99000 €",No,Zone Sud Province du Luxembourg,
2934,,2,366  m² square meters,Semi equipped,5,3,,90  m²  square meters,,"€ 715,000  715000 €",,,
2935,To be done up,2,220  m² square meters,Installed,4,1,No,843  m²  square meters,590  m²  square meters,"€ 195,000  195000 €",No,,
2936,Good,2,234  m² square meters,Installed,4,2,No,366  m²  square meters,,"€ 475,000  475000 €",No,,
2937,As new,3,210  m² square meters,Hyper equipped,3,1,,444  m²  square meters,,"€ 495,000  495000 €",,Aalst,
2938,,,180  m² square meters,Installed,3,2,No,180  m²  square meters,63  m²  square meters,"€ 619,000  619000 €",No,,
2939,Just renovated,,225  m² square meters,Hyper equipped,2,1,,225  m²  square meters,,"€ 499,500  499500 €",,,
2940,As new,4,75  m² square meters,Installed,2,1,No,240  m²  square meters,,"€ 179,000  179000 €",No,,
2941,As new,4,319  m² square meters,Hyper equipped,5,3,No,793  m²  square meters,,"€ 2,495,000  2495000 €",,Het Zoute,Yes
2942,,3,157  m² square meters,USA hyper equipped,4,2,,,,"€ 546,000  546000 €",,Bruxelles Centre,
2943,,4,311  m² square meters,,4,4,No,1717  m²  square meters,,"€ 765,000  765000 €",No,,Yes
2944,As new,3,139  m² square meters,USA installed,2,1,,384  m²  square meters,221  m²  square meters,"€ 225,000  225000 €",No,,
2945,Good,,110  m² square meters,Installed,3,,No,120  m²  square meters,,"€ 275,000  275000 €",,,
2946,Good,4,200  m² square meters,Installed,3,1,,702  m²  square meters,,"€ 525,000  525000 €",,,Yes
2947,As new,4,1240  m² square meters,Hyper equipped,14,5,No,153030  m²  square meters,150000  m²  square meters,"€ 3,950,000  3950000 €",No,,Yes
2948,As new,4,382  m² square meters,Hyper equipped,3,2,,1567  m²  square meters,1428  m²  square meters,"€ 785,000  785000 €",No,,
2949,As new,2,214  m² square meters,,4,1,No,185  m²  square meters,95  m²  square meters,"€ 349,000  349000 €",No,Regio Tienen,Yes
2950,As new,3,230  m² square meters,USA hyper equipped,5,3,No,100  m²  square meters,,"€ 925,000  925000 €",No,Quartier Montgomery,
2951,As new,2,370  m² square meters,Installed,4,1,No,215  m²  square meters,,"€ 1,625,000  1625000 €",,,Yes
2952,As new,,320  m² square meters,Hyper equipped,4,1,,580  m²  square meters,,"€ 395,000  395000 €",No,,
2953,,3,306  m² square meters,Installed,2,1,,237  m²  square meters,,"€ 565,000  565000 €",,,Yes
2954,As new,2,115  m² square meters,USA hyper equipped,3,1,No,70  m²  square meters,15  m²  square meters,"€ 295,000  295000 €",No,R LLN MSG Wavre,
2955,Good,4,375  m² square meters,Installed,5,4,,1892  m²  square meters,1400  m²  square meters,"€ 1,700,000  1700000 €",,,
2956,To be done up,2,159  m² square meters,Semi equipped,3,,No,455  m²  square meters,,"€ 239,000  239000 €",,,
2957,As new,2,122  m² square meters,Hyper equipped,2,,No,196  m²  square meters,,"€ 250,000  250000 €",,,Yes
2958,Good,2,225  m² square meters,Installed,3,2,No,572  m²  square meters,,"€ 464,000  464000 €",No,,
2959,To be done up,2,,Installed,5,1,No,480  m²  square meters,,"€ 295,000  295000 €",No,Vlaamse Ardennen,
2960,As new,4,145  m² square meters,Installed,3,1,No,801  m²  square meters,380  m²  square meters,"€ 325,000  325000 €",No,Zone Centre Province du Luxembourg,Yes
2961,Good,4,200  m² square meters,Installed,4,2,No,658  m²  square meters,,"€ 640,000  640000 €",,Quartier Joli-Bois,Yes
2962,Good,2,200  m² square meters,USA hyper equipped,5,2,No,100  m²  square meters,30  m²  square meters,"€ 845,000  845000 €",No,,
2963,Good,4,110  m² square meters,Installed,1,1,,,,"€ 210,000  210000 €",,,
2964,To be done up,4,118  m² square meters,Installed,3,2,Yes,770  m²  square meters,770  m²  square meters,"€ 329,000  329000 €",No,Zone Sud Province du Luxembourg,
2965,As new,4,211  m² square meters,Installed,4,1,,1126  m²  square meters,1126  m²  square meters,"€ 574,000  574000 €",,,Yes
2966,As new,4,811  m² square meters,Installed,5,2,,9100  m²  square meters,,"€ 2,595,000  2595000 €",,,
2967,As new,4,260  m² square meters,Installed,5,2,,750  m²  square meters,1  m²  square meter,"€ 595,000  595000 €",No,,
2968,To renovate,4,230  m² square meters,Semi equipped,4,,,543  m²  square meters,,"€ 645,000  645000 €",,Boniverlei,
2969,As new,,52  m² square meters,Hyper equipped,1,,No,52  m²  square meters,,"€ 279,000  279000 €",,,
2970,To be done up,3,201  m² square meters,,3,1,,1254  m²  square meters,,"€ 289,000  289000 €",,,
2971,To restore,4,155  m² square meters,,3,,No,289  m²  square meters,300  m²  square meters,"€ 240,000  240000 €",,,
2972,Just renovated,4,140  m² square meters,USA hyper equipped,3,2,,377  m²  square meters,,"€ 340,000  340000 €",,,Yes
2973,As new,4,170  m² square meters,USA installed,3,2,,775  m²  square meters,,"€ 1,175,000  1175000 €",,,Yes
2974,As new,2,131  m² square meters,Hyper equipped,2,1,,470  m²  square meters,400  m²  square meters,"€ 495,000  495000 €",,,
2975,As new,2,230  m² square meters,USA hyper equipped,4,2,No,220  m²  square meters,,"€ 1,195,000  1195000 €",No,Projets Bruxelles Est,Yes
2976,To be done up,2,550  m² square meters,,5,,,430  m²  square meters,,"€ 495,000  495000 €",,,Yes
2977,Good,2,110  m² square meters,,3,1,No,115  m²  square meters,52  m²  square meters,"€ 169,500  169500 €",No,Grand Liège,
2978,Good,,243  m² square meters,Installed,1,,No,257  m²  square meters,,"€ 599,999  599999 €",,,Yes
2979,To renovate,2,250  m² square meters,Hyper equipped,3,1,No,195  m²  square meters,,"€ 195,000  195000 €",,Denderleeuw en deelgemeenten,
2980,Good,4,,Hyper equipped,6,3,No,1312  m²  square meters,1060  m²  square meters,"€ 599,000  599000 €",No,,
2981,Just renovated,4,155  m² square meters,USA hyper equipped,3,1,,474  m²  square meters,,"€ 399,000  399000 €",,,
2982,Good,3,148  m² square meters,Installed,3,,No,435  m²  square meters,,"€ 415,000  415000 €",,,Yes
2983,To be done up,3,231  m² square meters,Semi equipped,4,3,No,251  m²  square meters,140  m²  square meters,"Make an offer starting from  € 199,000  Make an offer starting from  199000 €",No,Liège environs,
2984,As new,,100  m² square meters,,3,1,,265  m²  square meters,128  m²  square meters,"€ 379,000  379000 €",No,,
2985,Good,3,100  m² square meters,Installed,2,1,,509  m²  square meters,380  m²  square meters,"Make an offer starting from  € 220,000  Make an offer starting from  220000 €",,,
2986,Good,2,326  m² square meters,Installed,4,1,,435  m²  square meters,,"€ 369,000  369000 €",,,
2987,As new,3,356  m² square meters,USA hyper equipped,5,3,No,378  m²  square meters,,"€ 1,795,000  1795000 €",No,1 - Bruxelles Est,
2988,Good,2,96  m² square meters,Semi equipped,3,,,163  m²  square meters,,"€ 155,000  155000 €",,,Yes
2989,As new,3,213  m² square meters,Hyper equipped,3,1,No,649  m²  square meters,,"€ 377,065  377065 €",,,
2990,,2,280  m² square meters,Installed,2,3,,139  m²  square meters,,"€ 565,000  565000 €",,,Yes
2991,Just renovated,2,181  m² square meters,Hyper equipped,4,1,No,230  m²  square meters,,"€ 330,000  330000 €",No,,
2992,Good,4,211  m² square meters,Hyper equipped,5,1,No,530  m²  square meters,250  m²  square meters,"€ 650,000  650000 €",No,Bruxelles Est,
2993,As new,2,67  m² square meters,Semi equipped,7,7,No,77  m²  square meters,,"€ 359,000  359000 €",No,Liège,
2994,To renovate,,199  m² square meters,,3,1,,449  m²  square meters,,"€ 193,000  193000 €",No,,
2995,To be done up,4,101  m² square meters,Not installed,3,1,No,888  m²  square meters,740  m²  square meters,"€ 255,000  255000 €",No,GRAND VERVIERS,
2996,To be done up,3,159  m² square meters,Semi equipped,3,1,,651  m²  square meters,,"€ 399,000  399000 €",,,
2997,As new,4,485  m² square meters,Hyper equipped,5,4,No,2000  m²  square meters,,"€ 2,470,000  2470000 €",No,,Yes
2998,As new,4,153  m² square meters,,3,1,No,3880  m²  square meters,,"Make an offer starting from  € 379,000  Make an offer starting from  379000 €",,,
2999,Good,4,320  m² square meters,Hyper equipped,5,2,,1993  m²  square meters,,"€ 699,000  699000 €",,,
3000,As new,,300  m² square meters,Installed,4,1,,764  m²  square meters,,"€ 395,000  395000 €",,,
3001,As new,2,117  m² square meters,Installed,3,1,No,214  m²  square meters,214  m²  square meters,"€ 425,000  425000 €",No,,
3002,To be done up,3,119  m² square meters,Semi equipped,2,1,,203  m²  square meters,,"€ 125,000  125000 €",,,
3003,To be done up,4,448  m² square meters,,5,2,,1801  m²  square meters,,"€ 520,000  520000 €",,,Yes
3004,Good,3,204  m² square meters,Semi equipped,3,2,,,,"€ 395,000  395000 €",,,
3005,As new,3,125  m² square meters,Installed,2,1,,826  m²  square meters,,"€ 239,500  239500 €",,,
3006,,,350  m² square meters,,,,,,,"€ 1,000,000  1000000 €",,,
3007,To renovate,4,203  m² square meters,Not installed,4,1,,2910  m²  square meters,2910  m²  square meters,"€ 635,000  635000 €",,,
3008,As new,4,335  m² square meters,Installed,5,3,Yes,5000  m²  square meters,,"€ 830,000  830000 €",No,Zone Centre Province du Luxembourg,Yes
3009,To be done up,4,420  m² square meters,Semi equipped,7,3,,1108  m²  square meters,,"€ 650,000  650000 €",,,
3010,As new,4,243  m² square meters,USA hyper equipped,5,5,,5880  m²  square meters,,"€ 1,275,000  1275000 €",,,Yes
3011,To renovate,4,149  m² square meters,,3,1,,2448  m²  square meters,,"€ 325,000  325000 €",,,Yes
3012,As new,2,152  m² square meters,Hyper equipped,3,1,No,195  m²  square meters,,"€ 339,000  339000 €",No,,
3013,To be done up,4,150  m² square meters,USA hyper equipped,3,1,No,486  m²  square meters,200  m²  square meters,"€ 410,000  410000 €",,,Yes
3014,To renovate,4,159  m² square meters,Semi equipped,4,1,,2210  m²  square meters,,"€ 425,000  425000 €",,,Yes
3015,Good,4,95  m² square meters,Installed,3,1,No,1078  m²  square meters,1078  m²  square meters,"€ 250,000  250000 €",No,Zone Nord Province du Luxembourg,
3016,To renovate,2,222  m² square meters,Semi equipped,4,,,250  m²  square meters,,"€ 229,000  229000 €",,,
3017,Good,2,100  m² square meters,Installed,2,1,No,72  m²  square meters,23  m²  square meters,"€ 179,000  179000 €",,,
3018,Just renovated,2,138  m² square meters,Hyper equipped,3,1,,289  m²  square meters,150  m²  square meters,"€ 389,000  389000 €",,,
3019,Just renovated,4,260  m² square meters,Installed,4,2,No,788  m²  square meters,,"€ 330,000  330000 €",No,Zone Centre Province du Luxembourg,
3020,To be done up,2,212  m² square meters,Not installed,3,2,,77  m²  square meters,,"€ 285,000  285000 €",,,
3021,Good,3,137  m² square meters,,3,1,Yes,508  m²  square meters,300  m²  square meters,"€ 380,000  380000 €",No,,Yes
3022,To renovate,,169  m² square meters,Semi equipped,4,1,No,1139  m²  square meters,500  m²  square meters,"€ 319,000  319000 €",No,,
3023,To be done up,4,350  m² square meters,Semi equipped,4,1,,1470  m²  square meters,1270  m²  square meters,"€ 499,000  499000 €",,,
3025,Good,4,275  m² square meters,Installed,6,2,,2023  m²  square meters,,"€ 625,000  625000 €",,,
3026,To be done up,2,238  m² square meters,Semi equipped,4,1,No,505  m²  square meters,272  m²  square meters,"€ 289,000  289000 €",No,Andenne,
3027,Good,2,228  m² square meters,,4,1,No,494  m²  square meters,,"€ 349,000  349000 €",,,
3028,Good,4,209  m² square meters,Hyper equipped,2,1,No,146  m²  square meters,,"Make an offer starting from  € 265,000  Make an offer starting from  265000 €",No,Verviers,
3029,,,213  m² square meters,Installed,3,2,,3416  m²  square meters,,"€ 499,000  499000 €",No,,
3030,Good,,135  m² square meters,Semi equipped,4,1,,670  m²  square meters,,"Make an offer starting from  € 325,000  Make an offer starting from  325000 €",,,
3031,Good,2,120  m² square meters,Semi equipped,3,1,,115  m²  square meters,,"€ 145,000  145000 €",,,
3032,To be done up,4,160  m² square meters,,4,2,No,1277  m²  square meters,,"€ 399,000  399000 €",,Liège,Yes
3033,To be done up,3,600  m² square meters,Installed,6,2,,517  m²  square meters,130  m²  square meters,"€ 1,400,000  1400000 €",No,,
3034,As new,4,185  m² square meters,,4,1,No,1188  m²  square meters,,"€ 349,000  349000 €",No,Zone Nord Province du Luxembourg,
3035,To be done up,4,150  m² square meters,Installed,3,1,No,1158  m²  square meters,1031  m²  square meters,"€ 185,000  185000 €",No,,
3036,To be done up,4,225  m² square meters,Installed,5,1,,2051  m²  square meters,18  m²  square meters,"€ 395,000  395000 €",,,
3037,To be done up,2,128  m² square meters,Semi equipped,5,1,,85  m²  square meters,,"€ 169,000  169000 €",,,
3038,As new,2,310  m² square meters,,5,3,Yes,,50  m²  square meters,"€ 840,000  840000 €",,Huart Hamoir/Demolder,
3039,Good,4,206  m² square meters,Semi equipped,5,1,,504  m²  square meters,400  m²  square meters,"€ 275,000  275000 €",,,
3040,To renovate,2,76  m² square meters,Semi equipped,2,,No,76  m²  square meters,,"€ 275,000  275000 €",,,Yes
3041,Good,4,220  m² square meters,Hyper equipped,4,2,,751  m²  square meters,650  m²  square meters,"Make an offer starting from  € 599,000  Make an offer starting from  599000 €",No,,
3042,,3,350  m² square meters,,9,5,,92  m²  square meters,,"€ 790,000  790000 €",,,
3043,Good,,160  m² square meters,Installed,4,,No,1013  m²  square meters,,"€ 365,000  365000 €",,,Yes
3044,As new,,125  m² square meters,Installed,3,1,,145  m²  square meters,75  m²  square meters,"€ 445,000  445000 €",,,
3045,As new,4,340  m² square meters,Hyper equipped,4,2,No,1596  m²  square meters,1200  m²  square meters,"€ 1,750,000  1750000 €",Yes,,Yes
3046,To renovate,3,170  m² square meters,,3,1,,782  m²  square meters,,"€ 280,000  280000 €",,,Yes
3047,Good,3,152  m² square meters,USA installed,3,1,,,,"€ 225,000  225000 €",,,Yes
3048,Good,2,121  m² square meters,Installed,2,1,No,95  m²  square meters,,"€ 169,000  169000 €",No,Herstal,
3049,As new,3,325  m² square meters,USA hyper equipped,5,3,No,700  m²  square meters,,"€ 1,490,000  1490000 €",No,,Yes
3050,Good,3,130  m² square meters,Installed,2,1,,370  m²  square meters,,"Make an offer starting from  € 245,000  Make an offer starting from  245000 €",,,Yes
3051,To renovate,4,180  m² square meters,Installed,3,1,No,516  m²  square meters,402  m²  square meters,"€ 365,000  365000 €",,,
3052,Good,2,185  m² square meters,Installed,3,3,,86  m²  square meters,,"€ 465,000  465000 €",,,
3053,As new,4,200  m² square meters,Hyper equipped,3,2,,831  m²  square meters,700  m²  square meters,"€ 535,000  535000 €",No,,
3054,As new,2,495  m² square meters,USA hyper equipped,5,2,No,410  m²  square meters,250  m²  square meters,"€ 2,975,000  2975000 €",No,,
3055,As new,2,310  m² square meters,USA hyper equipped,6,3,No,132  m²  square meters,,"€ 845,000  845000 €",No,,
3056,Good,3,214  m² square meters,Installed,4,1,,1365  m²  square meters,774  m²  square meters,"€ 299,000  299000 €",,,
3057,Good,4,175  m² square meters,Installed,4,1,No,1715  m²  square meters,970  m²  square meters,"€ 370,000  370000 €",No,Zone Sud Province du Luxembourg,
3058,Good,2,100  m² square meters,Semi equipped,3,1,,260  m²  square meters,,"€ 175,000  175000 €",,,Yes
3059,As new,4,265  m² square meters,,3,2,,887  m²  square meters,,"€ 545,000  545000 €",,,Yes
3060,Good,2,180  m² square meters,Hyper equipped,2,1,No,335  m²  square meters,250  m²  square meters,"€ 280,000  280000 €",,,
