,Building condition,Number of frontages,Living area,Kitchen type,Bedrooms,Bathrooms,Furnished,Surface of the plot,Terrace,Swimming pool,Price,Type of Property,Subtype of Property,Type of Sale,Neighbourhood or locality,Garden surface
376,Good,2,373,Installed,6,6,0.0,170,1.0,0.0,"€ 1,150,000  1150000 €",house,apartment block,for sale,None,55
377,To be done up,3,235,Semi equipped,6,1,0.0,650,None,0.0,"€ 375,000  375000 €",house,mixed use building,for sale,Vlaamse Ardennen,350
378,Good,2,204,USA hyper equipped,4,1,0.0,130,None,None,"€ 580,000  580000 €",house,house,for sale,Bruxelles Est,51
379,To renovate,3,163,Semi equipped,3,1,None,330,None,None,"€ 377,000  377000 €",house,house,for sale,bloemekenswijk,None
380,To be done up,3,279,Installed,5,2,0.0,596,1.0,None,"€ 750,000  750000 €",house,house,for sale,Liège,None
381,To renovate,2,171,Semi equipped,3,2,None,98,None,None,"€ 375,000  375000 €",house,house,for sale,Bruxelles (19 communes),32
384,Good,4,286,Installed,5,3,0.0,1334,1.0,None,"€ 599,000  599000 €",house,house,for sale,None,1334
385,As new,3,160,Hyper equipped,4,1,0.0,580,None,0.0,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €",house,house,for sale,None,300
386,As new,4,125,Semi equipped,3,1,None,1240,None,None,"Make an offer starting from  € 315,000  Make an offer starting from  315000 €",house,house,for sale,None,1100
387,Good,4,218,Hyper equipped,4,2,0.0,1653,None,0.0,"€ 425,000  425000 €",house,house,for sale,None,10500
388,Just renovated,4,180,USA hyper equipped,4,1,0.0,1000,1.0,0.0,"€ 395,000  395000 €",house,villa,for sale,The Ardennes,820
389,To renovate,2,120,Semi equipped,3,1,None,55,None,None,"Make an offer starting from  € 89,500  Make an offer starting from  89500 €",house,house,for sale,None,None
390,To renovate,4,300,Semi equipped,5,1,None,930,1.0,None,"€ 380,000  380000 €",house,villa,for sale,None,None
391,Good,4,365,Installed,6,4,None,580,1.0,0.0,"€ 845,000  845000 €",house,mixed use building,for sale,None,None
392,As new,3,170,Hyper equipped,5,3,1.0,266,None,None,"€ 750,000  750000 €",house,house,for sale,None,60
395,Good,2,182,USA hyper equipped,5,2,0.0,145,1.0,None,"€ 1,350,000  1350000 €",house,house,for sale,Knokke-Heist,None
396,Good,2,180,USA hyper equipped,4,2,0.0,150,None,0.0,"€ 748,000  748000 €",house,house,for sale,Est de Bruxelles + VL,50
397,Good,4,242,USA hyper equipped,4,1,0.0,792,1.0,0.0,"€ 465,000  465000 €",house,house,for sale,None,400
398,Good,2,138,USA installed,3,1,0.0,100,None,0.0,"€ 499,500  499500 €",house,house,for sale,None,50
400,As new,4,382,Hyper equipped,3,2,None,1567,None,0.0,"€ 785,000  785000 €",house,villa,for sale,None,1428
401,Good,4,264,Installed,5,2,0.0,1375,None,None,"€ 1,250,000  1250000 €",house,house,for sale,1 - Bruxelles Est,800
403,To be done up,2,497,Semi equipped,6,3,0.0,242,None,0.0,"€ 2,295,000  2295000 €",house,mansion,for sale,Centre Ville,40
404,Good,3,210,Installed,6,1,0.0,579,None,None,"€ 895,000  895000 €",house,house,for sale,Est de Bruxelles + VL,None
405,As new,4,339,Installed,5,2,None,794,None,0.0,"€ 645,000  645000 €",house,villa,for sale,None,580
406,To renovate,2,200,Semi equipped,3,1,None,340,1.0,None,"€ 185,000  185000 €",house,house,for sale,None,None
408,Just renovated,3,1016,Installed,17,13,0.0,362,None,0.0,"Make an offer starting from  € 2,690,000  Make an offer starting from  2690000 €",house,mixed use building,for sale,Liège environs,None
409,Just renovated,3,258,Installed,5,2,None,335,1.0,None,"€ 495,000  495000 €",house,house,for sale,None,200
410,Just renovated,3,1016,Installed,17,13,0.0,362,None,0.0,"Make an offer starting from  € 2,690,000  Make an offer starting from  2690000 €",house,apartment block,for sale,Liège environs,None
411,To be done up,4,201,Semi equipped,3,1,None,636,1.0,None,"€ 299,000  299000 €",house,house,for sale,None,None
414,To renovate,2,205,Installed,4,1,None,210,None,None,"€ 549,000  549000 €",house,house,for sale,Bruxelles (19 communes),75
415,To renovate,2,116,Semi equipped,3,1,None,77,None,None,"€ 149,000  149000 €",house,house,for sale,None,None
416,Just renovated,5,220,Not installed,4,1,None,11128,None,None,"€ 635,000  635000 €",house,farmhouse,for sale,None,9358
418,To be done up,3,180,Installed,3,1,None,150,None,None,"€ 240,000  240000 €",house,house,for sale,None,55
419,As new,2,229,Hyper equipped,4,2,0.0,110,None,0.0,"€ 465,000  465000 €",house,house,for sale,Bruxelles,None
421,To renovate,2,330,Not installed,4,3,0.0,150,None,0.0,"€ 499,000  499000 €",house,apartment block,for sale,None,15
423,As new,2,210,USA hyper equipped,3,3,1.0,70,1.0,None,"€ 705,000  705000 €",house,apartment block,for sale,None,None
425,Good,3,150,Semi equipped,3,1,0.0,270,None,None,"€ 257,000  257000 €",house,house,for sale,None,30
426,Good,3,110,Hyper equipped,3,1,0.0,231,None,1.0,"Make an offer starting from  € 269,000  Make an offer starting from  269000 €",house,house,for sale,Grand Liège,120
428,To be done up,4,180,Installed,4,1,0.0,530,None,0.0,"€ 280,000  280000 €",house,house,for sale,Zone Centre Province du Luxembourg,372
429,Good,4,151,Hyper equipped,4,3,0.0,520,1.0,None,"€ 575,000  575000 €",house,villa,for sale,Quartier Joli-Bois,None
430,To be done up,2,115,Installed,1,1,0.0,160,None,0.0,"€ 209,000  209000 €",house,house,for sale,None,85
432,Good,2,127,USA semi equipped,2,1,0.0,606,None,None,"€ 395,000  395000 €",house,house,for sale,None,529
433,To renovate,4,302,Installed,5,1,0.0,1195,None,0.0,"€ 269,000  269000 €",house,mixed use building,for sale,None,555
435,To be done up,4,180,Semi equipped,3,1,None,1150,None,None,"€ 399,000  399000 €",house,house,for sale,None,None
437,To be done up,4,220,Installed,5,3,0.0,850,None,1.0,"€ 735,000  735000 €",house,villa,for sale,Quartier Faubourg,None
438,Good,2,204,Semi equipped,7,7,1.0,61,None,0.0,"Make an offer starting from  € 374,000  Make an offer starting from  374000 €",house,apartment block,for sale,Liège environs,None
439,To be done up,4,112,Installed,3,1,0.0,984,None,0.0,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",house,villa,for sale,Brabant Wallon,897
441,Good,4,267,Hyper equipped,3,1,0.0,1704,None,0.0,"€ 595,000  595000 €",house,villa,for sale,None,1000
442,To renovate,4,300,Not installed,6,2,0.0,14631,None,0.0,"€ 1,350,000  1350000 €",house,villa,for sale,Brabant Wallon,None
443,To renovate,2,127,Not installed,3,1,0.0,215,None,0.0,"€ 198,000  198000 €",house,house,for sale,None,135
444,As new,2,310,Hyper equipped,5,3,0.0,124,None,0.0,"€ 895,000  895000 €",house,house,for sale,Bruxelles Est,50
445,Good,2,145,Installed,3,1,None,207,None,None,"€ 399,000  399000 €",house,house,for sale,Nieuw Borgerhout,115
446,To be done up,2,169,Not installed,1,4,0.0,44,None,0.0,"Make an offer starting from  € 274,000  Make an offer starting from  274000 €",house,apartment block,for sale,Liège environs,None
447,As new,2,300,USA installed,5,3,0.0,114,None,0.0,"€ 1,090,000  1090000 €",house,apartment block,for sale,None,40
448,To be done up,3,80,Installed,3,1,0.0,170,None,0.0,"€ 349,000  349000 €",house,house,for sale,Omgeving Kraainem,60
449,To renovate,4,345,Semi equipped,4,2,None,1475,1.0,1.0,"€ 585,000  585000 €",house,country cottage,for sale,None,1475
450,As new,2,190,Installed,4,2,None,156,None,0.0,"€ 345,000  345000 €",house,mansion,for sale,None,88
451,As new,4,298,Hyper equipped,4,4,0.0,455,1.0,0.0,"€ 2,795,000  2795000 €",house,villa,for sale,Knokke,None
452,Good,2,150,USA hyper equipped,3,1,0.0,162,None,None,"€ 550,000  550000 €",house,house,for sale,Bruxelles - 19 communes,90
454,Good,4,239,Installed,4,1,None,714,None,None,"€ 570,000  570000 €",house,villa,for sale,None,None
455,Good,4,264,Installed,5,2,None,1375,None,None,"€ 1,250,000  1250000 €",house,house,for sale,Baron Huart,800
456,To renovate,2,450,Not installed,6,3,None,190,None,0.0,"€ 795,000  795000 €",house,apartment block,for sale,None,12
457,To renovate,None,177,Semi equipped,3,2,None,450,None,None,"€ 175,000  175000 €",house,apartment block,for sale,None,100
458,Good,3,185,Installed,4,1,0.0,205,None,0.0,"Make an offer starting from  € 219,000  Make an offer starting from  219000 €",house,house,for sale,Oupeye,None
